Men's Intensity Formula Ver.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Running,1500M,,5000M,,10K,,,Half marathon,,,Full marathon,,,Slow,,AT,,Fast,,Speed,,Interval-1K,,,,,,,Full pace,,Half pace,,10K pace,,5K pace,,1.5K pace,
Level,Min,Sec,Min,Sec,Hr,Min,Sec,Hr,Min,Sec,Hr,Min,Sec,Min,Sec,Min,Sec,Min,Sec,Min,Sec,Min,Sec,1.5K,5K,10K,Half,Full,Min,Sec,Min,Sec,Min,Sec,Min,Sec,Min,Sec
28.0 ,8,26,33,37,1,15,8,2,51,28,6,30,12,10 ,18 ,9,7,8,13,7,36,6,45,8.45 ,33.63 ,75.14 ,171.5 ,390.2 ,9 ,15 ,8,8,7,31,6,44,5,38
28.1 ,8,26,33,33,1,14,58,2,51,3,6,29,10,10 ,16 ,9,5,8,11,7,35,6,44,8.43 ,33.56 ,74.97 ,171.1 ,389.2 ,9 ,13 ,8,6,7,30,6,43,5,37
28.2 ,8,25,33,29,1,14,47,2,50,37,6,28,9,10 ,15 ,9,4,8,10,7,34,6,43,8.42 ,33.48 ,74.80 ,170.6 ,388.2 ,9 ,12 ,8,5,7,29,6,42,5,37
28.3 ,8,24,33,24,1,14,37,2,50,12,6,27,7,10 ,13 ,9,2,8,9,7,33,6,42,8.40 ,33.41 ,74.62 ,170.2 ,387.1 ,9 ,10 ,8,4,7,28,6,41,5,36
28.4 ,8,23,33,20,1,14,26,2,49,46,6,26,5,10 ,12 ,9,1,8,8,7,32,6,41,8.39 ,33.34 ,74.45 ,169.8 ,386.1 ,9 ,9 ,8,3,7,27,6,40,5,36
28.5 ,8,22,33,16,1,14,16,2,49,21,6,25,3,10 ,10 ,9,0,8,7,7,31,6,40,8.37 ,33.27 ,74.28 ,169.4 ,385.1 ,9 ,8 ,8,2,7,26,6,39,5,35
28.6 ,8,21,33,12,1,14,6,2,48,56,6,24,4,10 ,9 ,8,58,8,5,7,30,6,40,8.36 ,33.20 ,74.11 ,168.9 ,384.1 ,9 ,6 ,8,0,7,25,6,38,5,34
28.7 ,8,20,33,7,1,13,56,2,48,32,6,23,5,10 ,8 ,8,57,8,4,7,29,6,39,8.34 ,33.13 ,73.95 ,168.5 ,383.1 ,9 ,5 ,7,59,7,24,6,38,5,34
28.8 ,8,19,33,3,1,13,46,2,48,8,6,22,6,10 ,6 ,8,56,8,3,7,28,6,38,8.33 ,33.06 ,73.78 ,168.1 ,382.1 ,9 ,3 ,7,58,7,23,6,37,5,33
28.9 ,8,18,32,59,1,13,37,2,47,44,6,21,7,10 ,5 ,8,54,8,2,7,27,6,37,8.31 ,32.99 ,73.62 ,167.7 ,381.1 ,9 ,2 ,7,57,7,22,6,36,5,33
29.0 ,8,18,32,55,1,13,27,2,47,19,6,20,8,10 ,4 ,8,53,8,1,7,26,6,36,8.30 ,32.93 ,73.45 ,167.3 ,380.1 ,9 ,1 ,7,56,7,21,6,35,5,32
29.1 ,8,17,32,51,1,13,16,2,46,54,6,19,7,10 ,2 ,8,52,7,59,7,24,6,35,8.29 ,32.85 ,73.28 ,166.9 ,379.1 ,8 ,59 ,7,55,7,20,6,34,5,31
